schema_version,agent_version,date,regime,directional_bias,permitted_structures,stand_down,size_multiplier,confidence,rationale,cited_evidence,playbook_notes,expected_value_usd
1.0,47d14088dd96,2026-02-02,event_risk,neutral,[],True,0.0,medium,"Stand-down on DAY evidence, not the ISM label: analog cohort majority is FLAT (9/15) with both books negative (mom -169, rot -150), and red-folder base rates price both books at or below zero (rot -98.63, p_flat 0.54). ISM family analogs lean momentum (4 of 8) but the edge is thin and mixed (three large momentum losers incl. -840 on 2026-01-07), insufficient to override the FLAT cohort per the v0.6.1 anchor. FLAT majority = 0.0, not a 0.25 just-in-case.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=9 (k=15)', 'analog_block.mean_pl_if_momentum=-169', 'analog_block.mean_pl_if_rotation=-150', 'base_rates.today_calendar.red_folder.p_flat=0.54', 'base_rates.today_calendar.red_folder.rotation_book_mean=-98.63', 'event_family_analogs.counts={FLAT:3,MOMENTUM:4,ROTATION:1}', 'calendar[0]=ISM Manufacturing PMI 10:00 high']","2026-02-02 (fresh notes): ISM Mon, gap -151.5, streak only 2d, mid-window (3.3% off high, 1.8% off low) after a whippy week (-300/-359 then +275/+248 nets) — tape is two-sided, not war. Stood down: generic analogs 9/15 FLAT with both book means negative and share_both_books_red 0.53; red-folder base rates also FLAT-leaning (p_flat 0.54, mom -5.97, rot -98.63). ISM family record is momentum-plurality (4/8, winners +910/+895/+375/+230 vs losers -420/-275/-400/-840; mean ~ +$59) — on a future ISM day where the generic cohort does NOT say FLAT, momentum reduced-arm is the right lean; today the cohort vetoed it. Discipline reminders: (1) FLAT majority = 0.0, never 0.25; 0.25 is for a weak BOOK signal only. (2) Event label alone never justifies stand-down — today's was justified by cohort + base rates. (3) Family analogs outrank the generic block on event days, but a split family (4-3-1, thin mean) does not beat a 9/15 FLAT cohort. Shock backdrop elevated (36 bars >49.5pts, largest 123 on 01-30 08:30) — elevated-shock base rate also FLAT-leaning (p_flat 0.56). Watch: if imbalance streak builds and price pins a window extreme, shift toward war/momentum.",0.0
1.0,47d14088dd96,2026-02-03,war,long,['continuation'],False,0.25,low,"Analog majority is MOMENTUM (6 vs 5 FLAT, 4 ROTATION) — that decides the book. Rotation cohort mean -$118 is direct evidence against reversion, so continuation only. Edge is thin: momentum mean +$14 on a split cohort, and elevated-shock base rate leans flat (p_flat 0.56), so reduced-arm 0.25 rather than 0.5. share_both_books_red 0.27 is low — not a stand-down day. Tape: net_10d +649.5pts with price 1.4% off window high, no red folder today — bias long with trend.","['analog_block.majority_action=MOMENTUM', 'analog_block.best_action_counts={FLAT:5,MOMENTUM:6,ROTATION:4}', 'analog_block.mean_pl_if_momentum=14', 'analog_block.mean_pl_if_rotation=-118', 'analog_block.share_both_books_red=0.27', 'base_rates.today_shock_regime.elevated(>p85).p_flat=0.56', 'trailing_stats.net_10d_pts=649.5', 'trailing_stats.pct_off_window_high=1.394']","2026-02-03 (fresh eyes, no inherited notes): Trending-up tape with violent two-way sessions — net_10d +649.5pts, price 1.4% off window high, but last 4 sessions swung -300/-359/+343 with 450-770pt ranges and 29 shock bars (largest 123pts, 01-30 08:30). Called war/long, continuation only at 0.25. Book choice per v0.6.1 anchor: analog majority MOMENTUM (6/15), rotation mean -$118 in cohort — excluded reversion on that cohort evidence, not the label. Size logic: momentum edge thin (+$14 mean, cohort split 6/5/4) and elevated-shock base rate says p_flat 0.56 with momentum book mean -$52/day — genuine weak-but-real book signal, so 0.25 is a conviction reduced-arm, not a default. Did NOT stand down: share_both_books_red only 0.27 and majority is a book, not FLAT. No red folder today (ISM was yesterday 10:00), calendar clear. Watch next: if the up-move extends and streak_imbal builds, upgrade to 0.5 momentum; if trap_rate_10 (now 0.5) rises with gap-and-fade prints after the +108.5pt overnight gap, reconsider trap and re-admit reversion.",10.0
1.0,47d14088dd96,2026-02-04,event_risk,neutral,[],True,0.0,medium,"Double red-folder morning (NFP 08:15 + ISM Services 10:00). Generic analogs say ROTATION (8/15, mean +$109), but event-family analogs outrank them on event days: the NFP/ISM cohort is 5/8 FLAT with one rotation win (+295) vs repeated losses. Red-folder base rate prices rotation at -$98.63/day (n=309, p_flat 0.54) and the elevated shock regime (22 bars) shows p_flat 0.56 with both book means red. That is priced day-evidence beyond the calendar label, so stand down rather than reduced-arm.","['regime_vector.red_folder_today=2', 'event_family_analogs.counts={FLAT:5,MOMENTUM:2,ROTATION:1}', 'base_rates.today_calendar.red_folder.rotation_book_mean=-98.63', 'base_rates.today_calendar.red_folder.p_flat=0.54', 'base_rates.today_shock_regime.elevated(>p85).p_flat=0.56', 'shock_bars.count=22', 'analog_block.majority_action=ROTATION', 'analog_block.mean_pl_if_rotation=109']","2026-02-04 (fresh eyes, no inherited notes). Stood down on a double red-folder day (NFP + ISM Services): event-family analogs 5/8 FLAT plus red-folder base rates (rotation -$98.6/day, momentum -$6.0, p_flat 0.54) and elevated shock regime (22 bars, p_flat 0.56, both books mean red) overrode a split generic ROTATION majority (8/15, mean +$109). This is an evidence-based FLAT, not calendar reflex. Tape is violent two-way: last five sessions ranges 450-810 pts with alternating nets (+343 / -455), range_pctl_20=0.9, streak only 1 day, price mid-window (3.6% off high, 1.5% off low) - no directional edge. If the red folders clear and shock count normalizes while the analog cohort stays ROTATION-majority with positive mean, a 0.5 rotation arm is the right next posture; 0.25 only for a genuinely split book cohort, never as a hedge on FLAT-leaning evidence. Yesterday realized -$105 at full size - single-day line, not a signal; rolling-20d regret is the thing to watch.",0.0
1.0,47d14088dd96,2026-02-05,war,short,[],True,0.0,medium,"Analog cohort says no-trade: analog_block.majority_action=FLAT (10 of 15), both books negative (mean_pl_if_rotation=-94, mean_pl_if_momentum=-267), share_both_books_red=0.53. Base rates agree: elevated shock regime p_flat=0.56 with both book means red. Tape is a violent down-leg (net_5d=-1042.5, price 0.04% off window low, gap -322.75, 22 shock bars) — war-type risk, not the calendar, is why the day is bad. Only medium red-folders today; standing down on cohort+shock evidence per v0.6.1 FLAT-majority anchor.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=10', 'analog_block.mean_pl_if_momentum=-267', 'analog_block.share_both_books_red=0.53', 'base_rates.today_shock_regime.elevated(>p85).p_flat=0.56', 'trailing_stats.net_5d_pts=-1042.5', 'trailing_stats.pct_off_window_low=0.04', 'overnight.gap_vs_prior_close_pts=-322.75']","2026-02-05: STAND DOWN on FLAT-majority cohort (10/15 FLAT, 0 MOMENTUM; rotation mean -94, momentum mean -267; share_both_books_red 0.53). Tape context: sharp risk-off leg — net_5d -1042.5 pts, price pinned 0.04% off 20d window low, overnight gap -322.75 with 461.5 range, 22 shock bars (largest 136.5 pts at yesterday's 16:02). Elevated-shock base rate bucket confirms: p_flat 0.56, both book means negative. Calendar only medium (Claims 08:30, JOLTS 10:00, red_folder_today=0) — the stand-down is cohort+shock driven, NOT calendar fear. Nearest analog (2024-10-11, dist 1.53) was a rotation winner, so if tape stabilizes in coming days with similar vectors but a book-majority cohort, ROTATION is the book to arm — momentum has 0 wins in this cohort. Yesterday: full-size arm realized -$105 vs oracle $0; rolling-20d read regret -$210, sizing regret $0 — reads slightly costly, sizing fine; keep anchoring book/trade calls to analog majority. Watch for: bounce off window low with contained ranges would shift toward balance/rotation; further one-way pressure with imbal_share rising would be true war continuation.",0.0
1.0,47d14088dd96,2026-02-06,war,neutral,[],True,0.0,medium,"Analog cohort majority is FLAT (7 of 15) - the retrieval no-trade signal; cohort book edges are thin (mean momentum +14, rotation +94). Beyond the calendar, the day itself looks hostile: 27 elevated shock bars, net_5d -1379 pts with price 1.5% off the window low, and a +356.75pt counter-trend gap - a violent war tape. Base rates price this: elevated-shock mornings are 56% FLAT with both books negative (momentum -51.54, rotation -75.38). FLAT majority = 0.0, not a 0.25 hedge.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=7', 'analog_block.mean_pl_if_momentum=14', 'base_rates.today_shock_regime.elevated(>p85).p_flat=0.56', 'base_rates.today_shock_regime.elevated(>p85).rotation_book_mean=-75.38', 'shock_bars.count=27', 'trailing_stats.net_5d_pts=-1379.0', 'overnight.gap_vs_prior_close_pts=356.75']","2026-02-06 (fresh eyes): Stood down on a FLAT-majority analog cohort (7/15 FLAT, thin book means: mom +14, rot +94, both_red 0.47) during a violent down tape - 3-day down streak, net_5d -1379, net_10d -922, price 1.5% off 20d window low, 27 shock bars (largest 136.5pts on 02-04), then a +356.75pt overnight gap UP. Elevated-shock base rate: 56% flat, both books mean-negative - the day, not the calendar, is the reason. Today's only event is UoM Consumer Sentiment 10:00 (medium, red_folder_today=0), so this is NOT an event_risk stand-down; it is a retrieval + shock-regime stand-down per v0.6.1 anchoring (FLAT cohort = 0.0, never 0.25 'just in case'). Watch next session: if the gap holds and shocks subside, the tape may flip to balance/trap - a large gap-up into a downtrend that fades would argue trap and rotation; a gap-and-go would argue war continuation long. Re-check whether the analog cohort flips to a book majority before arming anything. Yesterday_result rolling-20d shows read regret -210 cumulative, sizing regret 0 - reads, not sizing, are the current leak; keep obeying the analog majority over the narrative.",0.0
1.0,47d14088dd96,2026-02-09,balance,neutral,[],True,0.0,medium,"Analog cohort says no-trade: majority_action=FLAT and both books' cohort means are negative (rotation -26, momentum -7), so neither book has a payable edge. Tape is a violent two-sided chop (net_5d -328 after +692/-637 swings) with an elevated shock log (34 bars >66pts), and the elevated-shock base rate is the worst bucket: p_flat 0.56 with both books deeply red. No red-folder event today, so this is a day-quality stand-down, not calendar fear.","['analog_block.majority_action=FLAT', 'analog_block.mean_pl_if_rotation=-26', 'analog_block.mean_pl_if_momentum=-7', 'base_rates.today_shock_regime.elevated(>p85).p_flat=0.56', 'base_rates.today_shock_regime.elevated(>p85).rotation_book_mean=-75.38', 'shock_bars.count=34', 'trailing_stats.net_5d_pts=-328.0', 'regime_vector.red_folder_today=0']","2026-02-09 (Mon): STAND DOWN 0.0. Retrieval no-trade signal: k=15 analogs, majority FLAT (6F/6R/3M) with both cohort means negative — per v0.6.1 anchor a FLAT-majority cohort is a 0.0, not a 0.25 hedge. Day quality, not calendar: red_folder_today=0, only trailing UoM Fri; the danger is the tape itself — five straight 700-1000pt range sessions with whipsaw nets (-455, -271, -636, +692), shock log elevated (34 bars >66pt threshold, largest 136.5), and the elevated-shock base-rate bucket is the worst in the book (p_flat 0.56, rotation -75/day, momentum -52/day over 135 cases). Streak=1, day_type=balanced, price mid-window (4.7% off high / 3.6% off low) — no directional edge either way. Watch for next session: if ranges compress and shock count normalizes, balanced-tape rotation becomes viable again; if a one-way streak forms off the 02-05 low reversal (+692 on 02-06), respect momentum analogs like 2024-04-18/2023-06-09 which paid big. Yesterday's line: -105 realized at full size, oracle 0, read-regret -105 rolling -210 — small, no overreaction; sizing regret 0, so keep sizing to the cohort, not to fear.",0.0
1.0,47d14088dd96,2026-02-10,event_risk,neutral,[],True,0.0,high,"Stand-down on cohort evidence, not the calendar. analog majority_action=FLAT (9/15) with both book means negative (rotation -176, momentum -47) and share_both_books_red=0.53. The RETAIL event-family analogs agree: FLAT 5/8. Base rates price the day the same way: red_folder p_flat=0.54 with rotation_book_mean -98.63. Tape is whipsaw (net_5d -463.5 vs +692 bounce 02-06), no book signal to arm. FLAT-majority cohort = 0.0, not a 0.25 hedge.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=9', 'analog_block.mean_pl_if_rotation=-176', 'analog_block.mean_pl_if_momentum=-47', 'event_family_analogs.counts.FLAT=5', 'base_rates.today_calendar.red_folder.p_flat=0.54', 'base_rates.today_calendar.red_folder.rotation_book_mean=-98.63', 'trailing_stats.net_5d_pts=-463.5']","2026-02-10 (Tue, Core Retail Sales 08:30 red-folder): STAND DOWN 0.0. Not a calendar reflex — three independent priors say the day itself is a no-pay: (1) analog cohort majority FLAT 9/15, both books' means negative, share_both_books_red 0.53; (2) RETAIL family analogs 5/8 FLAT with deep red losers (-865/-660 momentum on losers); (3) red_folder base rates p_flat 0.54, rotation mean -98.63/day. Tape context: violent two-sided repair after the early-Feb selloff (02-05 -636.5 then 02-06 +691.75, now streak only 2 up, price mid-window ~4% off both extremes, imbal_share_10 0.30, trap_rate_10 0.20) — no directional edge and no rotation edge either. If a book HAD a majority I would have armed it small despite the event (engine timing floor handles the 08:30 release). Carry-forwards: (a) FLAT cohort = 0.0, never 0.25-just-in-case (v0.6.1 rule held); (b) rolling-20d read regret -210 with sizing regret 0 — reads, not sizing, are the leak, so keep anchoring book choice to majority_action; (c) yesterday 2026-02-09 was itself an oracle-FLAT day (oracle $0) and sits in today's analog set. Watch next session for whether post-Retail tape resolves the balance/whipsaw — a fresh one-way day would rebuild a momentum case.",0.0
1.0,47d14088dd96,2026-02-11,event_risk,neutral,[],True,0.0,medium,"NFP 08:30 red-folder morning. Per v0.6.2, event_family_analogs outweigh the generic block on event days: the NFP/JOBLESS cohort is 5/8 FLAT with both books negative on net, and the red-folder prior is p_flat=0.54 with rotation -$99 and momentum -$6 per day over 309 cases. Generic analogs lean MOMENTUM (+$204 mean) but lack today's release. The family record plus priced priors are evidence beyond the calendar that the day itself is a no-trade; standing down.","['calendar[1].event=Non-Farm Employment Change, today=true, when=08:30', 'event_family_analogs.counts={FLAT:5,MOMENTUM:2,ROTATION:1}', 'base_rates.today_calendar.red_folder.p_flat=0.54', 'base_rates.today_calendar.red_folder.rotation_book_mean=-98.63', 'base_rates.today_calendar.red_folder.momentum_book_mean=-5.97', 'analog_block.majority_action=MOMENTUM', 'analog_block.mean_pl_if_momentum=204', 'regime_vector.red_folder_today=1']","Fresh-eyes 2026-02-11. Rule applied: on red-folder mornings event_family_analogs rank above the generic analog_block (v0.6.2). Today NFP: family cohort 5/8 FLAT, family momentum mean ~-$65/day and rotation ~-$109/day; red-folder prior p_flat=0.54 with both book means negative -> stood down despite generic MOMENTUM majority (+$204 mean, 6/15). Tape context: violent early-Feb swings (02-05 -636.5pts, 02-06 +691.75pts on 982pt range) have cooled (02-10 net -105.75, range 249); streak=1, price mid-window (~4.2% off both window extremes), imbal_share_10=0.3, trap_rate_10=0.2 - on a non-event day this setup reads balance-leaning with a live generic-analog MOMENTUM signal; if it repeats without a red folder, arm momentum at 0.5, not 0.25. Rolling-20d ledger: read regret -$1,484, sizing regret $0 - the leak is read/book selection, not size shaving; when arming, stay decisive on the notch. Do not stand down on future event days without family-analog or base-rate evidence like today's; calendar alone never suffices.",0.0
1.0,47d14088dd96,2026-02-12,balance,neutral,[],True,0.0,medium,"Analog cohort majority is FLAT (6/15) with BOTH books negative in expectation (momentum -70, rotation -52) — the retrieval no-trade signal, which per rule mandates 0.0, not a 0.25 hedge. Base rates agree: imbalanced day-type shows p_flat 0.49 with both book means red. Tape is mixed (streak 1 day, net_5d +177 vs net_10d -865), giving no book edge to override the cohort. Only a medium-impact 08:30 Claims print; red_folder_today=0 — the stand-down rests on the FLAT cohort and red book means, not the calendar.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=6', 'analog_block.mean_pl_if_momentum=-70', 'analog_block.mean_pl_if_rotation=-52', 'base_rates.today_day_type.imbalanced.p_flat=0.49', 'trailing_stats.directional_streak_days=1', 'trailing_stats.net_10d_pts=-865.5', 'regime_vector.red_folder_today=0']","2026-02-12 (fresh eyes): Stood down on the retrieval signal — majority_action=FLAT (6/15 analogs) and both cohort book means negative (mom -70, rot -52); share_both_books_red only 0.27 so the flat call rests on the majority + red means, per v0.6.1 anchor. Base rates reinforced: imbalanced day-type n=493, p_flat 0.49, rotation_book_mean -53.7. Tape context: violent early-Feb swings (760-980pt ranges, 02-05 -636 then 02-06 +691) have compressed the last two sessions (249, 407pt ranges, nets -106/+20); price mid-window (3.6% off high, 4.6% off low), streak just 1 day — balance-type setup, no directional edge. 78pt overnight gap and 45 shock bars noted, but no fresh outsized shock today (largest was 02-06). Calendar: only medium-impact Unemployment Claims 08:30; red_folder_today=0, so calendar contributed nothing to the stand-down. Watch next session: if compression continues with FLAT cohorts, keep standing down; if a book majority emerges with positive mean, size to it rather than defaulting 0.25 — rolling-20d read regret is -1484 with arm expectancy -42/day, so the leak to fix is book selection quality, not caution per se.",0.0
1.0,47d14088dd96,2026-02-13,event_risk,neutral,['reversion'],False,0.5,medium,"CPI 08:30 red-folder morning: timing/size modifier, not a stand-down — engine holds entries past the release. Both retrieval layers name ROTATION: analog majority 7/15 and CPI-family 4/8, so that is the book. Momentum is the cohort loser (mean -229), structure-specific grounds to drop continuation. Generic rotation edge is thin (-5) but CPI-family rotation paid on most instances and share_both_books_red is only 0.33, so 0.5 not 0.25. Bias neutral: net_5d +346 vs net_10d -1032, streak 1 — tape is two-sided.","['calendar[3]=CPI high impact today=true 08:30', 'regime_vector.red_folder_today=1', 'analog_block.majority_action=ROTATION', 'analog_block.best_action_counts={FLAT:5,MOMENTUM:3,ROTATION:7}', 'analog_block.mean_pl_if_momentum=-229', 'analog_block.share_both_books_red=0.33', 'event_family_analogs.counts={FLAT:2,MOMENTUM:2,ROTATION:4}', 'trailing_stats.net_5d_pts=346.5 vs net_10d_pts=-1032.5']","2026-02-13 (fresh eyes, CPI Friday): Armed ROTATION 0.5, reversion only, neutral bias. Logic: on event days the CPI-family analogs outrank the generic block — family gave ROTATION 4/8 with clearly positive rotation P&L (605/688/288/378 winners vs one -288), while the generic 15-analog cohort also had ROTATION majority (7/15) though its rotation mean was ~flat (-5). Momentum was the measured loser in the cohort (mean -229) — excluded continuation on that, not on the event label. Did NOT stand down: majority_action is a book, share_both_books_red 0.33 well under 0.6, and the base-rate red_folder p_flat 0.54 is a 2026-only bucket per the base_rates note, so I weighted retrieval over it. Sized 0.5 rather than 0.25 per v0.6.2 anti-dilution rule: two independent rotation signals is a real book signal, but the split cohort (5 FLAT analogs) kept it off 1.0. Tape context: week whipsawed (-636 then +692, yesterday -467), price mid-window (5.1% off high, 1.9% off low), streak only 1 — no war evidence, so event_risk label with two-sided read. Rolling-20d read regret is -2214 with zero sizing regret — the lineage's leak is wrong/missed reads, not shrinking winners; keep anchoring book choice to retrieval majorities. EV estimate +$110 at 0.5 from CPI-family rotation mean (~+$220 full size).",110.0
