schema_version,agent_version,date,regime,directional_bias,permitted_structures,stand_down,size_multiplier,confidence,rationale,cited_evidence,playbook_notes
1.0,ff94d3a77570,2026-02-02,event_risk,neutral,['reversion'],False,0.25,low,"Analog cohort majority FLAT (9/15), both books red (rotation -150 > momentum -169) but share_both_books_red=0.53 <0.6 — not affirmatively untradeable, so reduced-arm, not stand-down. ISM PMI 10:00 (red_folder=1) is a timing/size modifier; engine holds entries past release, calendar alone never flattens. Tape two-sided: streak_imbal=0, directional_streak=2, gap -151.5 after two down sessions. Rotation marginally less-bad than momentum, so arm reversion small; neutral bias, no persistent one-way trend. Low conviction -> 0.25.","['analog_block.majority_action=FLAT', 'analog_block.best_action_counts.FLAT=9', 'analog_block.share_both_books_red=0.53', 'analog_block.mean_pl_if_rotation=-150', 'analog_block.mean_pl_if_momentum=-169', 'regime_vector.red_folder_today=1', 'trailing_stats.directional_streak_days=2', 'overnight.gap_vs_prior_close_pts=-151.5']","Fresh-eyes 02-02 (no inherited notes). Regime: choppy/event, NOT war — streak_imbal=0, directional_streak=2; strong up-run 01-21..01-28 then sharp reversals 01-29 (-300) and 01-30 (-359), gap -151.5 today = two-sided tape. Analog cohort (k=15) majority FLAT with both books negative (rot -150 > mom -169) and share_both_books_red=0.53: mixed/weak, below the ~0.6 both-red bar, so 0.25 reduced-arm on the rotation/reversion book — NOT stand-down. ISM PMI 10:00 handled as timing/size modifier per v0.6: never auto-flat on calendar alone; engine holds entries past the release. Chose reversion as the armed book because analog momentum mean is negative and majority action is FLAT; excluded continuation for book-selection (not label) reasons. Neutral bias — vector shows no directional edge. Carry forward: a future cohort with share_both_books_red>=0.6, both means red, AND a fresh directionless overnight shock would license a true 0.0 stand-down; a merely mediocre cohort like today's does not — arm small instead of hiding on directional days."
1.0,ff94d3a77570,2026-02-03,trap,neutral,"['reversion', 'continuation']",False,0.25,low,"108.5pt overnight gap (net 105.25 held) but no multi-day streak (directional_streak_days=1) and elevated trap_rate_10=0.5 in wide sessions (range_pctl_20=0.9) reads trap, not war. Analogs favor momentum (+14) over rotation (-118), so I won't lean the reversion/rotation book despite the trap tape, but the edge is thin. share_both_books_red=0.27 is low-no stand-down license. Mixed cohort, one book mildly positive -> 0.25 reduced-arm, both structures, neutral until the gap resolves.","['overnight.gap_vs_prior_close_pts=108.5', 'overnight.net_pts=105.25', 'regime_vector.trap_rate_10=0.5', 'regime_vector.range_pctl_20=0.9', 'analog_block.mean_pl_if_momentum=14', 'analog_block.mean_pl_if_rotation=-118', 'analog_block.share_both_books_red=0.27', 'trailing_stats.directional_streak_days=1']","Fresh-eyes 02-03 (no inherited notes). Read: imbalanced, big overnight gap up (108.5) that held (net 105.25), heavy shock log (29 bars, largest 123 on 01-30), wide two-sided trailing (ranges 760/769) with small 5d net (89.75) = trappy, not a clean trend-directional_streak_days=1. Book call driven by analogs: momentum mean +14 (thin), rotation -118 clearly negative, majority MOMENTUM, share_both_books_red=0.27. So do NOT favor the reversion/rotation book here even though the trap tape tempts it; momentum barely pays. Low both-red share forbids a stand-down. Sized 0.25 reduced-arm because the only positive book is marginal and the cohort is mixed (FLAT 5 / MOM 6 / ROT 4). Bias neutral: the gap-up argues long, but a trap regime warns gaps fade-let the post-open tape pick direction. No red-folder today (ISM was 02-02, today=false), so not event_risk. Carry-forward rule: when analogs make rotation the losing book, don't default to reversion just because the label is trap; size up only if momentum mean turns clearly positive AND a directional streak forms."
1.0,ff94d3a77570,2026-02-04,event_risk,neutral,['reversion'],False,0.5,medium,"Analog cohort pays rotation, not momentum: majority_action=ROTATION (8/15), mean_pl_if_rotation=+109 vs mean_pl_if_momentum=-10 -> arm the reversion book. share_both_books_red=0.33 is low, so no both-red stand-down license. Two high-impact releases today (red_folder_today=2: NFP 08:15, ISM Services 10:00) with day_type=balanced and directional_streak_days=1 = a two-sided event morning, not war. Event is a size/timing modifier only; engine holds entries past release. Size 0.5 for residual uncertainty; trap_rate_10=0.5 keeps continuation suspect.","['analog_block.majority_action=ROTATION', 'analog_block.best_action_counts.ROTATION=8', 'analog_block.mean_pl_if_rotation=109', 'analog_block.mean_pl_if_momentum=-10', 'analog_block.share_both_books_red=0.33', 'regime_vector.red_folder_today=2', 'regime_vector.day_type=balanced', 'trailing_stats.directional_streak_days=1']","[Fresh start 2026-02-04; no inherited notes.] Book selection is analog-led: when the regime label and cohort disagree, follow the base rates. Today's cohort (k=15) is majority ROTATION with mean_pl_if_rotation +109 vs momentum -10 -> reversion book armed even on a red-folder morning. Rule reinforced: red_folder_today>=1 is a size/timing modifier, never an auto stand-down; NFP/ISM days are frequently the biggest directional winners and the engine holds entries until after the release. Stand-down (0.0) is reserved for affirmative untradeable evidence -- high share_both_books_red (~0.6+) or a fresh outsized directionless overnight shock. Today share_both_books_red is only 0.33 -> trade, not flat. When a cohort clearly favors one book, size up to 0.5-1.0; here two high-impact releases + trap_rate_10=0.5 + range_pctl_20=0.9 argue for de-risk to 0.5 rather than full size. Watch: shock_bars count 22 (largest 123 on 01-30 08:30) reflects recent NFP-class volatility -- expect a wide post-release range. Continuation kept out on trap_rate_10=0.5 and the negative momentum cohort; revisit if trailing sessions stop alternating and a clean streak_imbal>=2 with one-way net_5d returns (net_5d now -614 vs net_10d +446 = chop, not trend)."
1.0,ff94d3a77570,2026-02-05,balance,neutral,['reversion'],False,0.25,medium,"Analogs (k=15) decide the book: MOMENTUM won 0/15, mean_pl_if_momentum=-267 -> continuation excluded; ROTATION is least-bad (5 wins, mean=-94) -> arm reversion. majority_action=FLAT + share_both_books_red=0.53 = a poor cohort, but 0.53 is below the ~0.6 both-red bar that would license a real stand-down, so reduced-arm (0.25), not flat. Tape reads balanced: day_type=balanced, streak_imbal=0, mixed recent nets. red_folder_today=0 (only medium Claims/JOLTS today) -> not event_risk.","['analog_block.best_action_counts.MOMENTUM=0', 'analog_block.mean_pl_if_momentum=-267', 'analog_block.mean_pl_if_rotation=-94', 'analog_block.majority_action=FLAT', 'analog_block.share_both_books_red=0.53', 'regime_vector.day_type=balanced', 'regime_vector.streak_imbal=0', 'regime_vector.red_folder_today=0']","Fresh-eyes day, no inherited notes. Decision was analog-led. The cohort (k=15) is the whole story: MOMENTUM 0/15 wins with mean -267 is decisive evidence AGAINST continuation, so continuation is excluded on structure-specific grounds, not on a regime label. ROTATION is the only book that ever paid here (5/15) but its mean is still slightly negative (-94), and majority_action=FLAT (10/15) with share_both_books_red=0.53 marks a genuinely mediocre cohort. Under v0.6 discipline: 0.53 does NOT clear the ~0.6 both-red bar and there is no fresh outsized directionless overnight shock, so an affirmative stand-down is not licensed -- doubt, not conviction, is what pulls toward flat, which is exactly the reduced-arm (0.25) case. Armed reversion small. Tape context that could mislead a future reader: net_5d_pts=-1042.5 and a -322.75 overnight gap LOOK like war/downtrend, but streak_imbal=0, day_type=balanced, and two-sided recent nets (02-02 +343, 02-03 -455, 02-04 -271) say rotational; the analogs confirm momentum does not pay. Watch: if a future cohort shows share_both_books_red>=0.6 with both means negative, escalate to stand-down; if ROTATION mean turns clearly positive, size up to 0.5. red_folder_today=0 today (Claims/JOLTS medium only) so no event_risk modifier applied."
1.0,ff94d3a77570,2026-02-06,war,neutral,"['reversion', 'continuation']",False,0.5,medium,"Directional risk regime: net_5d_pts=-1379, directional_streak_days=3, pct_off_window_low=1.535, range_pctl_20=0.8 = war-class down tape. But overnight.gap_vs_prior_close_pts=+356.75 is a large counter bounce and analogs pay reversion (mean_pl_if_rotation=94 > mean_pl_if_momentum=14), majority_action=FLAT — 'looks like war, rotation pays.' share_both_books_red=0.47 is below stand-down license, so no flat. Defer book to analogs: permit both structures, neutral bias, de-risk 0.5.","['trailing_stats.net_5d_pts=-1379', 'trailing_stats.directional_streak_days=3', 'trailing_stats.pct_off_window_low=1.535', 'regime_vector.range_pctl_20=0.8', 'overnight.gap_vs_prior_close_pts=356.75', 'analog_block.mean_pl_if_rotation=94', 'analog_block.majority_action=FLAT', 'analog_block.share_both_books_red=0.47']","Fresh-eyes brief (no inherited notes). 2026-02-06 Fri: 5-day down thrust (-1379) into the window low, but overnight gapped +357 counter and UoM Sentiment 10:00 is medium impact with red_folder_today=0 — not a stand-down catalyst. Read as war-class directional risk that the analog cohort resolves to the ROTATION/reversion book (rot +94 vs mom +14, majority FLAT, both-red 0.47). Chose 0.5 de-risk over stand-down: 0.47 both-red is below the ~0.6 license and one book clearly pays. Bias neutral because the down trend and the overnight bounce gap point opposite ways. Watch: if the gap fills and price re-accelerates down through the window low with streak_imbal turning positive, that flips to genuine war-continuation (bias short, drop reversion). Had share_both_books_red exceeded ~0.6 this would be a 0.0 day. Carry-forward: on this setup family, trust analog book-selection over the trending-tape narrative."
1.0,ff94d3a77570,2026-02-09,balance,neutral,"['reversion', 'continuation']",False,0.25,low,"Balance tape: streak_imbal=0, directional_streak_days=1, red_folder_today=0, trap_rate_10=0.2, price mid-window (off high 4.7%/low 3.6%) - two-sided, no persistent one-way risk. Analogs don't license stand-down: share_both_books_red=0.4 (below ~0.6) and both books near-flat (rotation -26, momentum -7); majority FLAT but ROTATION ties 6/6. Mediocre, not-both-red cohort = 0.25 reduced-arm, not flat. Reversion is balance's home field; no gap-and-fade evidence to exclude continuation. Neutral bias.","['regime_vector.streak_imbal=0', 'trailing_stats.directional_streak_days=1', 'regime_vector.red_folder_today=0', 'regime_vector.trap_rate_10=0.2', 'analog_block.share_both_books_red=0.4', 'analog_block.mean_pl_if_rotation=-26', 'analog_block.mean_pl_if_momentum=-7', 'analog_block.best_action_counts=FLAT6/ROTATION6/MOMENTUM3']","Fresh-eyes start (no inherited notes). 2026-02-09 Mon, balance regime. Read: vector two-sided (imbal_share_20=0.45/10=0.4, streak_imbal=0), trailing 10d choppy with large ranges but no streak (net_10d=-306, net_5d=-328), price mid-window. No event today (UoM Sentiment was 02-06). v0.6 discipline applied: analog cohort mixed (FLAT6/ROT6/MOM3, both mean P&L slightly negative, share_both_books_red=0.4) is the classic reduced-arm middle case, NOT a stand-down - the ~0.6 both-red threshold is not met, so armed 0.25 on the home book (reversion) rather than forfeiting a possible directional day. Carry-forward rules: (1) stand_down/0.0 needs affirmative untradeable evidence (fresh outsized shock with no direction OR share_both_books_red>~0.6); calendar/doubt alone -> 0.25. (2) Book selection defers to analogs when they conflict with the tape read; here analogs are near-flat both ways, so the tape read (balance->reversion) governs. (3) Vol backdrop elevated: shock_bars count=34, largest=136.5 on 02-04 - keep size modest. Revisit if a directional streak builds or a red-folder day appears."
1.0,ff94d3a77570,2026-02-10,event_risk,neutral,['continuation'],False,0.25,low,"High-impact Core Retail Sales 08:30 ET (red_folder_today=1) over a directionless tape: streak_imbal=0, balanced day_type, price mid-window (off high 3.83%, off low 4.54%). Analog cohort is weak but NOT a stand-down: share_both_books_red=0.53 (<~0.6) and both means red, momentum (-47) less bad than rotation (-176), FLAT majority. Per v0.6 an event alone is never flat and 0.53 doesn't license it. So reduced-arm 0.25 on the better (momentum) book; rotation mean -176 disfavors reversion. Neutral bias, engine holds to post-release.","['calendar.event=Core Retail Sales impact=high today=true', 'regime_vector.red_folder_today=1', 'regime_vector.streak_imbal=0', 'analog_block.share_both_books_red=0.53', 'analog_block.mean_pl_if_momentum=-47', 'analog_block.mean_pl_if_rotation=-176', 'analog_block.best_action_counts=FLAT9/MOM4/ROT2', 'trailing_stats.net_5d_pts=-463.5']","Fresh-eyes start (no inherited notes). Rules that held today: (1) event_risk (red_folder_today=1, high-impact 08:30 release) is a size/timing modifier, not an auto stand-down; engine holds entries past the release. (2) Stand-down (0.0) requires affirmative untradeable evidence — share_both_books_red>=~0.6 or a fresh directionless outsized shock. Today's 0.53 with both means only mildly red is the classic reduced-arm middle: use 0.25, not flat. (3) Book selection from analogs, not narrative: mean_pl_if_momentum(-47) > mean_pl_if_rotation(-176) and MOM4>ROT2 -> arm momentum/continuation; the rotation/reversion book is the measured loser here so I lean continuation-only at small size. (4) Tape gave no direction (streak_imbal=0, balanced, mid-window, directional_streak_days=2 only) despite big trailing ranges (700-980pts) and net_5d -463.5 — volatile chop, not a war trend, hence neutral bias. Watch next: if a future cohort shows one book clearly green, size UP to 0.5-1.0; if share_both_books_red climbs >=0.6 with a fresh no-direction overnight shock, that licenses a real 0.0. Shock log (43 bars, largest 136.5 on 02-04) is stale, not fresh — did not treat as today's shock."
1.0,ff94d3a77570,2026-02-11,event_risk,neutral,"['reversion', 'continuation']",False,0.5,medium,"NFP today (Non-Farm today=true, red_folder_today=1): event_risk = size/timing modifier, not stand-down; engine holds entries past the 08:30 release. Analogs license arming: mean_pl_if_momentum=204 vs rotation -12, majority=MOMENTUM, share_both_books_red=0.27 (no both-red license). One book pays -> size up, but event residual plus streak_imbal=0, directional_streak_days=1 and mid-window price (off_high 4.18~=off_low) cap it: neutral bias, de-risked 0.5. Both structures kept; trap_rate_10=0.2, no evidence to drop reversion.","['calendar.Non-Farm Employment Change.today=true', 'regime_vector.red_folder_today=1', 'analog_block.majority_action=MOMENTUM', 'analog_block.mean_pl_if_momentum=204', 'analog_block.mean_pl_if_rotation=-12', 'analog_block.share_both_books_red=0.27', 'regime_vector.streak_imbal=0', 'trailing_stats.pct_off_window_high=4.18']","Fresh-eyes brief, no inherited notes. 2026-02-11 Wed = NFP day (08:30 ET, red_folder_today=1). v0.6 discipline: event day is arm-and-size, never auto-flat; engine holds entries until after release, so no need to hide. Book selection this day driven by analog cohort, not narrative: momentum book pays (mean_pl 204 vs rotation -12), majority_action=MOMENTUM over k=15, and share_both_books_red only 0.27 -> no license for a real stand-down. Chose event_risk regime over war because there is NO persistent one-way structure: streak_imbal=0, directional_streak_days=1, net_5d=-114 (mild) though net_10d=-728, trailing sessions alternate sign with large ranges. Price sits dead-center of the 20d window (off_high 4.18 ~= off_low 4.16), so no extreme to lean on -> bias neutral rather than short despite the gap_open -61 / overnight net -11.5. Permitted both structures: trap_rate_10=0.2 is low and no gap-and-fade or failing-bounce evidence to exclude either continuation or reversion. Size 0.5 (de-risked, not reduced-arm 0.25) because one book clearly pays, but NFP residual uncertainty keeps it below full. Watch: if a future briefing shows a genuine directional streak (streak_imbal>=2, price pinned at a window extreme) with the momentum cohort still paying, escalate toward war + directional bias + 1.0. Reserve 0.0/stand-down for high share_both_books_red or a fresh outsized directionless overnight shock."
1.0,ff94d3a77570,2026-02-12,balance,neutral,"['reversion', 'continuation']",False,0.25,low,"Analog cohort is mixed, not a no-trade: majority_action=FLAT but share_both_books_red only 0.27, so most similar days one book still paid — no both-red license to stand down. Both books mildly red, rotation less bad (-52) than momentum (-70), so arm the rotation/reversion side small. Tape is two-sided, not trending: directional_streak_days=1, net_5d +177 vs net_10d -865 (reversal), price mid-window. red_folder_today=0 (only medium claims). Doubt not conviction drives me toward flat, so 0.25 reduced-arm, not 0.0.","['analog_block.majority_action=FLAT', 'analog_block.share_both_books_red=0.27', 'analog_block.mean_pl_if_rotation=-52', 'analog_block.mean_pl_if_momentum=-70', 'trailing_stats.directional_streak_days=1', 'trailing_stats.net_5d_pts=177.0', 'trailing_stats.net_10d_pts=-865.5', 'regime_vector.red_folder_today=0']","Fresh-eyes day, no inherited notes. Read: choppy, volatile, two-sided balance tape, not war. Evidence for balance: directional_streak_days=1, streak_imbal=1, price mid-window (3.6% off high / 4.6% off low), net_5d +177 reversing a -865 net_10d. Caution flags kept but not decisive: large daily ranges and 45 shock_bars (largest 132pt on 02-06), range_pctl_20=0.75, trap_rate_10=0.3, overnight gap 78pt — volatility is high even though direction is absent, hence reduced size. Book selection from analogs: cohort majority FLAT with both books mean-negative but share_both_books_red only 0.27, i.e. mediocre, not untradeable; rotation the less-bad book, so favor reversion. Sized 0.25 (reduced-arm) per v0.6: no both-red cohort and no fresh outsized directionless shock, so stand-down is unjustified; but conviction is genuinely thin, so not full size. red_folder_today=0 today (medium Unemployment Claims 08:30 only) — engine holds entries past release; not an event_risk day. Forward: if a real directional streak builds (streak_imbal rising with big one-way net) reassess toward war/continuation with-trend; if trap_rate climbs with gap-and-fade, lean reversion-only and consider excluding continuation."
1.0,ff94d3a77570,2026-02-13,event_risk,neutral,"['reversion', 'continuation']",False,0.25,medium,"CPI today (red_folder_today=1, calendar CPI today=true) is a timing/size modifier, not a stand-down. Analog cohort favors rotation (majority_action=ROTATION, 7/15) but only mildly (mean_pl_if_rotation=-5 vs momentum=-229); share_both_books_red=0.33 gives no license to hide. Two-sided tape (directional_streak_days=1, imbal_share_20=0.5) with a -126.5 overnight gap prone to fade. Mixed cohort + pending CPI = reduced-arm 0.25: arm the rotation/reversion book small, engine holds through the release.","['regime_vector.red_folder_today=1', 'calendar.CPI.today=true', 'analog_block.majority_action=ROTATION', 'analog_block.mean_pl_if_rotation=-5', 'analog_block.mean_pl_if_momentum=-229', 'analog_block.share_both_books_red=0.33', 'trailing_stats.directional_streak_days=1', 'overnight.gap_vs_prior_close_pts=-126.5']","2026-02-13 (fresh eyes, no inherited notes). CPI event day, Friday. v0.6 discipline applied: event label alone never stands the desk down; share_both_books_red=0.33 is low, so no affirmative untradeable evidence exists. Analogs (k=15) are the book signal: ROTATION 7 / FLAT 5 / MOMENTUM 3, rotation mean P&L ~flat (-5) vs momentum clearly red (-229) -> favor rotation/reversion, momentum unattractive. Cohort is mediocre not both-red, so this is a 0.25 reduced-arm, NOT a stand-down. Tape supports rotation: directional_streak_days=1, imbal_share_10/20=0.5, range_pctl_20=0.5, trap_rate_10=0.3 (not extreme). Overnight gap -126.5 / net -146.75 into a session that price sits 1.88% off window low, net_10d=-1032.5 but net_5d=+346.5 -> chop, not a clean one-way war. Kept both structures permitted (no structure-specific evidence to exclude reversion or continuation); neutral bias since analogs are rotational two-sided. Engine holds entries until after the 08:30 CPI release, so no need to flatten. Carry-forward for next event day: reduced-arm 0.25 is the default on a CPI/NFP morning when the analog cohort is mixed and not both-red; only escalate to 0.5+ if one book's cohort clearly pays, only stand down on fresh outsized directionless shock or high share_both_books_red."
