# THRAXX (Christopher Creamer, @thraxxtrades) — transcript catalog
# channel UC_gLIbMvRSx5abw9cjGmaBQ | 6,450 subs | 43 videos + 126 streams + 178 shorts
# pulled 2026-08-05. Format: ID|words|duration_s|views|title
# TRANSCRIBED (teaching corpus):
-yC3A0Q34_Q|3455|1163|1200|Why Pattern Trading Fails Most Traders
0xc6IzoJ_Nc|2973|1005|1800|How I Actually Use Volume Profile (Orderflow + Execution Explained)
34MhSJsRF_M|2525|815|1200|You Are Trading the Wrong Fair Value Gaps
MycwtbqQQqc|2187|801|1100|Most Traders Misunderstand Delta in Orderflow Trading
PkzTQ2_0vpw|46697|15941|8600|The Complete Auction Resolution Guide
UP5dlJThxU8|3034|978|9900|My Exact ATAS Footprint Settings for Futures Order Flow Trading
W34h3mWB4Oo|2939|1157|750|I Blew All My Funded Accounts (-$18,000 in 2 Days)
Y8CtNKWtu0o|3069|927|2300|The 2 Footprint Charts That Changed My Trading
bXNlCwsit80|3261|1067|4200|How Absorption Actually Works on a Footprint Chart
luMedeeFVug|6196|2142|23000|How I Use Gamma and Gex Levels in Futures Trading
raCTiS4RNno|5240|1607|2800|2 Continuation Entry Models I Trade Using Orderflow
sSkiVbXwN8s|4666|1584|768|This FREE NQ Indicator Changed How I See Daily Range
tm6qCMItaNw|2108|718|2100|12-Month WIN STREAK With This Strategy (Simple)
y11pylpC-5M|5974|1929|1600|How I Frame Orderflow Trades Using Premium and Discount
zT5jcvUM6iU|4383|1344|1500|How I Map My Trades BEFORE the Market Opens
# NOT TRANSCRIBED — 126 live streams (all titled 'Live NQ Futures Trading | Order Flow & Prop Firms'),
# 178 shorts, and the daily/weekly/monthly PnL recap videos. Stream IDs in the full inventory.
