day,weekday,bias8,bias,tier,adapted,demoted,net,net_pct,am_net,verdict8,verdict,verdict_adapted,policy,draw_hit,po3,flip,news,note
2025-07-01,Tuesday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-109.2,-0.48,-143.0,WRONG,WRONG,WRONG,,False,,False,True,NY -109pt (down); NEUTRAL read but the session trended down — missed day; news: 10:00 ISM Manufacturing PMI
2025-07-02,Wednesday,BEARISH,BEARISH,MEDIUM,BEARISH,False,190.2,0.84,167.8,WRONG,WRONG,WRONG,,False,no PO3 shape (low first),False,False,NY +190pt (up); session ran up AGAINST the bearish read; no PO3 shape (low first)
2025-07-03,Thursday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,127.0,0.55,151.0,WRONG,WRONG,WRONG,,False,,False,True,"NY +127pt (up); NEUTRAL read but the session trended up — missed day; news: 08:30 Average Hourly Earnings m/m, 08:30 Non-Farm Employment"
2025-07-04,Friday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-11.2,-0.05,16.2,CORRECT,CORRECT,CORRECT,,False,,False,False,NY -11pt (flat); session followed the bias
2025-07-07,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-60.0,-0.26,-14.2,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),False,False,NY -60pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-07-08,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-43.8,-0.19,-29.5,WRONG,WRONG,WRONG,,True,manip->expand shape,False,False,NY -44pt (down); session ran down AGAINST the bullish read
2025-07-09,Wednesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,72.2,0.31,-30.5,CORRECT,CORRECT,CORRECT,,True,no PO3 shape (high first),False,False,NY +72pt (up); session followed the bias; draw reached
2025-07-10,Thursday,BULLISH,BULLISH,LOW,BULLISH,False,-57.2,-0.25,-47.8,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),False,False,NY -57pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
2025-07-11,Friday,BULLISH,BULLISH,MEDIUM,BULLISH,False,40.0,0.17,61.5,CORRECT,CORRECT,CORRECT,,True,manip->expand shape,False,False,NY +40pt (up); session followed the bias; draw reached; PO3 shape played out
2025-07-14,Monday,BULLISH,BULLISH,MEDIUM,BULLISH,False,91.5,0.4,66.2,CORRECT,CORRECT,CORRECT,,True,manip->expand shape,False,False,NY +92pt (up); session followed the bias; draw reached; PO3 shape played out
2025-07-15,Tuesday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,-148.0,-0.64,-42.2,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),True,True,"NY -148pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first); (read flipped NEUTRAL->BULLISH at the open); news: 08:30 Core CPI m/m, 08:30 CPI m/m, 08:30 CPI y/y"
2025-07-16,Wednesday,BEARISH,BULLISH,MEDIUM,BULLISH,False,0.2,0.0,-83.5,FLAT,FLAT,FLAT,,False,manip->expand shape,True,False,NY +0pt (flat); bias was directional but the session chopped flat; (read flipped BEARISH->BULLISH at the open)
2025-07-17,Thursday,NEUTRAL,BULLISH,MEDIUM,BULLISH,False,157.5,0.68,149.2,WRONG,CORRECT,CORRECT,,True,manip->expand shape,True,True,NY +158pt (up); session followed the bias; draw reached; PO3 shape played out
2025-07-18,Friday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,-74.5,-0.32,-53.5,WRONG,WRONG,WRONG,,False,,False,False,NY -74pt (down); NEUTRAL read but the session trended down — missed day
2025-07-21,Monday,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,False,88.5,0.38,129.2,WRONG,WRONG,WRONG,,False,,False,False,NY +88pt (up); NEUTRAL read but the session trended up — missed day
2025-07-22,Tuesday,BULLISH,BULLISH,MEDIUM,BULLISH,False,-124.8,-0.53,-139.5,WRONG,WRONG,WRONG,,False,no PO3 shape (high first),False,False,NY -125pt (down); session ran down AGAINST the bullish read; no PO3 shape (high first)
