# Lanto (@lantotrades, UCvkSVH0PtpiBEV_WoNyOHOA) — video catalog
# Pulled 2026-08-07 from channel HTML (watch pages + transcripts BOT-WALLED
# from this datacenter IP — same blocker as the ICT intake 2026-08-06).
# Transcripts: NONE fetched. Manual paste required; see SPEC-as-taught.md.
#
# TEACHING CORE — "Smart Money Blueprint Playlist (2026)"
# playlist_id=PL0_M1QELeOG9FE77hVGKsmn50iFGEs_aQ  [TRANSCRIPTS WANTED]
kBAZYIqlLMg  $3M From 3 Steps Strategy
t2xKfcNSpO4  IFVG + FVG: The Setup Behind My Best Results          (11K views)
h0SVib2ClhE  Do This Before You Enter Another Trade                (6.1K views)
# System/psychology (outside playlist, referenced by it):
iSwj-o3-aWE  Trading Is Hard Until You Build A System Like This    (17K views)
#            chapters: 01:11 Clarity / 02:53 Execution Rule / 04:17 Know When
#            to Stop / 05:15 Proof System / 06:46 Psychology Lock-In
#
# RECENT 30 UPLOADS (live-session recaps unless noted; newest first)
B0zo-B9HQDA  Making +90,000 Day Trading Live (NO Bullsh*t Guide)          7h
1Y_dsrZpQ-s  Making +$130,000 Day Trading With 1 Trade! (PROOF)           2d
E7NF4AL-1O0  Making +51,000 Day Trading in 10 Minutes! (1-0)              7d
5D7ApbW96bo  Making +$73,000 After Initially LOSING (Risk Management 101) 9d
oNyv2ET4EUo  Making +$64,000 Day Trading in 1 Hour!                       2w
8b2vUNIThpE  Losing -$73,000 Yesterday, Then Making +$131,000 Today!      2w
-K3bVtMMnKU  Losing -$79,000 Day Trading (ROOKIE MISTAKE)                 3w
gd1Hql7XJIM  Making 160,000+ After Taking a LOSS (TEXTBOOK TRADE)         4w
Zht08hZAtW8  Making +$100,000 Day Trading In An Hour! (Live, 1600+ ppl)   4w
NkbZmrwUy3M  Making +$115,000 Day Trading in 1 Hour! (TEXTBOOK MODEL)     1mo
ZjH1TmhMGJQ  Losing -$41,000 Day Trading (1 Tick Away From TP!)           1mo
sy2pF5eXTcE  Making +$120,000 Day Trading in 1 Hour!                      1mo
0rcuKmquqJw  Making $100,000+ Day Trading Live in 1 Hour! (BANGER)        1mo
0scAzDQ-jYc  Making +$77,000 After Losing The First Trade!                1mo
5fcBYtYqKsA  Making +$224,000 Day Trading LIVE (10R Trade!)               1mo
iSwj-o3-aWE  [see teaching core]                                          1mo
p4VJmRLSRlg  Making +$3,100,000 Day Trading! (NOT CLICKBAIT)              2mo
KWr4tIbAkac  Losing -$34,000 Day Trading in 4 Hours (Psychology Was Off!) 2mo
tFY2f23U_Jw  Making +$117,000 in 2 Hours of Trading! (BANGER)             2mo
qbZfXO1ZJb4  Making +$89,000 in An Hour of Trading! (Patience Pays!)      2mo
glXzNtuS-hs  Making +$130,000 Day Trading LIVE (THE POWER OF PATIENCE)    2mo
RFg6FNFceJw  How I Genuinely Made +$165,168.64 Today. (No Bullsh*t)       2mo
ZV6vXSbyb30  What a Max Prop Firm Payout Actually Looks Like              2mo
42cw8do-POs  Losing -$40,000 Trading SLOPPY on Live! (-1R)                2mo
h0SVib2ClhE  [see teaching core]                                          2mo
Wq5QryU1eJU  Making +$100,000 Day Trading LIVE! (Going Over Yest. Loss)   3mo
W_g_aBoJyFo  Making $200,000+ LIVE TRADING! (Q&A)                         3mo
9_G9OjsmLaA  Making +$80,000 Day Trading LIVE (1 loser, 1 winner)         3mo
t2xKfcNSpO4  [see teaching core]                                          3mo
FODffDi9s2g  Making +$400,000 Day Trading Live!                           3mo
